Author,Title,ISBN-10,ISBN-13,OL_key,OL_title,OL_library,OL_ID
Arthur C. Clarke,The Songs of Distant Earth,586066233,9780586066232,OL17383W,The Songs of Distant Earth,Arthur C. Clarke,8f0b4e32-fc5b-43a8-a9da-56f02943df50
Jules Verne,From the Earth to the Moon,,9781547062416,OL41265004W,From the Earth to the Moon,Jules Verne,f92ee0a9-0104-46cd-93c7-1e74d93c35e0
L. Ron Hubbard,Battlefield Earth,1592120539,9781592120536,OL8065187W,Battlefield Earth: A Saga of the Year 3000,L. Ron Hubbard,c3e92f65-0949-478c-a5aa-94471350c22d
Robert A. Heinlein,Citizen of the Galaxy,070906800X,,OL59679W,Citizen of the Galaxy,Robert A. Heinlein,b494492d-6f29-42c0-bd69-e01969659a59
Greg Bear,Blood Music,743444965,9780743444965,OL16513W,Blood Music,Greg Bear,af429650-527b-4785-9d87-f2217e0a16b5
Poul Anderson,Tau Zero,575077328,9780575077324,OL90571W,Tau Zero,Poul Anderson,52df9370-3ee5-4888-9fdc-930f3e78c60c
Robert J. Sawyer,Flashforward,812580346,9780812580341,OL16062082W,Flashforward,Robert J. Sawyer,475dfb7f-8844-4124-9a92-97375f47e40d
Edgar Rice Burroughs,The Gods of Mars,1576464482,9781576464489,OL1418240W,Gods of Mars: A Barsoom Novel,Edgar Rice Burroughs,5aec2312-735a-4e10-b9cb-a4a908e46c6a
Ayn Rand,Anthem,1565115473,9781565115477,OL731737W,Anthem,Ayn Rand,903597d9-88ba-4a99-8891-165da04c2e8a
Joe Haldeman,Forever Peace,441005667,9780441005666,OL271152W,Forever Peace,Joe Haldeman,bece5ee1-3d1e-4543-a954-447fd4584572
C.J. Cherryh,Foreigner,756402514,9780756402518,OL60612W,Foreigner: 10th Anniversary Edition,C.J. Cherryh,2324739c-1ca8-47a5-8abe-d1ae5aa84f14
Sheri S. Tepper,Grass,553285653,9780553285659,OL104514W,Grass,Sheri S. Tepper,3da7fbd8-e23b-449c-82a5-9289bf2a3430
H.G. Wells,The First Men in the Moon,6147658,,OL52260W,The First Men in the Moon,H.G. Wells,83d1d0c9-f4b3-4b24-acf0-0723b1ef13d5
J.G. Ballard,The Drowned World,,9780007221837,OL2745976W,The Drowned World,J.G. Ballard,ec763da3-ef75-487b-8c54-5cd99cde8fc3
Greg Bear,The Forge of God,812524330,9780812524338,OL16514W,The Forge of God,Greg Bear,e222f35b-4771-4da9-9af0-931f26d11f9d
Kurt Vonnegut Jr.,Galapagos,586090452,9780586090459,OL98471W,Galápagos,Kurt Vonnegut,d4a9c28a-18d3-4bd3-8c40-9ad1eb1bba9e
Harry Harrison,The Stainless Steel Rat,1857984986,9781857984989,OL467284W,The Stainless Steel Rat,Harry Harrison,89817b69-e797-48d0-8018-6e0997b12222
Anne McCaffrey,The Rowan,1423330293,9781423330295,OL73338W,The Rowan,Anne McCaffrey,c1e79c4d-3020-4b78-9590-5a2bd30d191b
Stanislaw Lem,The Cyberiad,156235501,,OL2683553W,The Cyberiad,Stanisław Lem,567d69a2-7f24-47ce-a820-28464127d7c1
John Christopher,The White Mountains,340042168,,OL34357858W,The White Mountains,John Christopher,5573acbc-4077-4aec-934f-f601884dca58
Philip K. Dick,Martian Time-Slip,3453217268,9783453217263,OL2172408W,Martian Time-Slip,Philip K. Dick,02e7b6d5-68d3-4856-8c62-2e148a5384b3
Joanna Russ,The Female Man,704347377,9780704347373,OL3332541W,The Female Man,Joanna Russ,f0bd4d5a-c215-48e6-845a-c475dad33334
Frederik Pohl & C.M. Kornbluth,The Space Merchants,1427251770,9781427251770,OL60943W,The Space Merchants,"C.M. Kornbluth, Frederik Pohl",b03e3f79-3271-4321-a7ce-c7438b91e5e4
Jack McDevitt,The Engines of God,441000770,,OL92871W,The Engines of God,Jack McDevitt,5c5d515f-3529-40a2-89b2-e539132253ca
Kurt Vonnegut Jr.,Player Piano,440170370,9780440170372,OL98484W,Player Piano,Kurt Vonnegut,c2ed3bf2-c9e3-4571-a20a-432de4a3cb89
John Steakley,Armor,886773687,9780886773687,OL4447466W,Armor,John Steakley,fcf54ca9-7dc4-4ddc-b4c7-8dcf64b3d839
Joan D. Vinge,The Snow Queen,446676640,,OL2816487W,The Snow Queen,Joan D. Vinge,5ecbdd3c-2614-4a63-80aa-208d6b173f58
Kate Wilhelm,Where Late the Sweet Birds Sang,312866151,,OL506264W,Where Late the Sweet Birds Sang,Kate Wilhelm,87e14498-63ac-45ef-8589-ab7cb19f68b5
Olaf Stapledon,Star Maker,1857988078,9781857988079,OL3290739W,Star Maker,Olaf Stapledon,c1d60727-8e24-4a1f-9f0e-974d68a934d2
Nevil Shute,On the Beach,3190002398,9783190002399,OL2779754W,On the Beach,Nevil Shute,676de000-7c24-493b-a7c7-fd0a80eab75a
Jack Finney,Invasion of the Body Snatchers,722135033,9780722135037,OL20106551W,Invasion of the Body Snatchers,Jack Finney,44a3fa67-76da-43c6-b96c-5d631a5db750
